segment,feature_level,revocation,n_templates,in_dim,out_dim_per_template,stacked_rank,correlation,feature_recovery_energy_ratio
7529,6,independent,1,91,46,46,0.7787867679153206,0.6216672023071197
7529,6,independent,2,91,46,91,0.9999999999999993,1.0000000000000007
7529,6,independent,3,91,46,91,0.9999999999999994,1.0000000000000004
7529,6,independent,4,91,46,91,0.9999999999999996,1.0000000000000004
7529,6,shared_subspace,1,91,46,46,0.7425030839210863,0.5637681707033185
7529,6,shared_subspace,2,91,46,46,0.7425030839210867,0.563768170703319
7529,6,shared_subspace,3,91,46,46,0.7425030839210865,0.5637681707033189
7529,6,shared_subspace,4,91,46,46,0.7425030839210867,0.5637681707033182
7040,6,independent,1,91,46,46,0.5912499472030132,0.3644540266920718
7040,6,independent,2,91,46,91,1.0,1.0000000000000022
7040,6,independent,3,91,46,91,1.0,1.0000000000000002
7040,6,independent,4,91,46,91,1.0,1.0000000000000002
7040,6,shared_subspace,1,91,46,46,0.6061752754172897,0.3810396249662826
7040,6,shared_subspace,2,91,46,46,0.6061752754172897,0.3810396249662824
7040,6,shared_subspace,3,91,46,46,0.6061752754172895,0.3810396249662826
7040,6,shared_subspace,4,91,46,46,0.60617527541729,0.3810396249662825
9470,6,independent,1,91,46,46,0.7487019520164162,0.5678885379960584
9470,6,independent,2,91,46,91,1.0,1.0000000000000022
9470,6,independent,3,91,46,91,1.0,1.0000000000000009
9470,6,independent,4,91,46,91,0.9999999999999998,0.999999999999998
9470,6,shared_subspace,1,91,46,46,0.639686310720049,0.42797190582895184
9470,6,shared_subspace,2,91,46,46,0.6396863107200491,0.4279719058289519
9470,6,shared_subspace,3,91,46,46,0.639686310720049,0.427971905828952
9470,6,shared_subspace,4,91,46,46,0.6396863107200496,0.42797190582895206
5884,6,independent,1,91,46,46,0.6344216686329477,0.4588014262466411
5884,6,independent,2,91,46,91,1.0,1.0000000000000004
5884,6,independent,3,91,46,91,0.9999999999999996,0.9999999999999991
5884,6,independent,4,91,46,91,0.9999999999999996,1.0000000000000013
5884,6,shared_subspace,1,91,46,46,0.6831831629993436,0.5426194155592082
5884,6,shared_subspace,2,91,46,46,0.6831831629993436,0.5426194155592079
5884,6,shared_subspace,3,91,46,46,0.6831831629993436,0.5426194155592078
5884,6,shared_subspace,4,91,46,46,0.6831831629993433,0.5426194155592079
1174,6,independent,1,91,46,46,0.6856874697887311,0.47576249047754043
1174,6,independent,2,91,46,91,0.9999999999999998,1.0000000000000016
1174,6,independent,3,91,46,91,1.0,0.9999999999999999
1174,6,independent,4,91,46,91,1.0,1.0000000000000007
1174,6,shared_subspace,1,91,46,46,0.7545986949643274,0.5944268150815945
1174,6,shared_subspace,2,91,46,46,0.7545986949643275,0.5944268150815943
1174,6,shared_subspace,3,91,46,46,0.7545986949643274,0.5944268150815945
1174,6,shared_subspace,4,91,46,46,0.7545986949643275,0.5944268150815943
7266,6,independent,1,91,46,46,0.6363548426842031,0.44211616479110694
7266,6,independent,2,91,46,91,0.9999999999999998,1.0000000000000024
7266,6,independent,3,91,46,91,0.9999999999999998,0.9999999999999996
7266,6,independent,4,91,46,91,0.9999999999999999,0.9999999999999999
7266,6,shared_subspace,1,91,46,46,0.755450332313309,0.5985480959066783
7266,6,shared_subspace,2,91,46,46,0.7554503323133089,0.598548095906679
7266,6,shared_subspace,3,91,46,46,0.7554503323133088,0.5985480959066785
7266,6,shared_subspace,4,91,46,46,0.7554503323133089,0.598548095906679
2299,6,independent,1,91,46,46,0.628920291810153,0.40923770995748565
2299,6,independent,2,91,46,91,1.0,1.0000000000000018
2299,6,independent,3,91,46,91,1.0,1.000000000000001
2299,6,independent,4,91,46,91,1.0,0.999999999999998
2299,6,shared_subspace,1,91,46,46,0.6790863881124986,0.47692906478575403
2299,6,shared_subspace,2,91,46,46,0.6790863881124988,0.4769290647857543
2299,6,shared_subspace,3,91,46,46,0.6790863881124987,0.4769290647857542
2299,6,shared_subspace,4,91,46,46,0.6790863881124987,0.476929064785754
9621,6,independent,1,91,46,46,0.7628787409541313,0.5791833906290362
9621,6,independent,2,91,46,91,1.0,1.0000000000000004
9621,6,independent,3,91,46,91,0.9999999999999999,0.9999999999999992
9621,6,independent,4,91,46,91,0.9999999999999999,1.0000000000000018
9621,6,shared_subspace,1,91,46,46,0.6841640051680987,0.4620311599837937
9621,6,shared_subspace,2,91,46,46,0.6841640051680985,0.4620311599837935
9621,6,shared_subspace,3,91,46,46,0.6841640051680988,0.4620311599837942
9621,6,shared_subspace,4,91,46,46,0.6841640051680983,0.4620311599837933
2181,6,independent,1,91,46,46,0.632294862771471,0.396814324341016
2181,6,independent,2,91,46,91,0.9999999999999997,0.9999999999999971
2181,6,independent,3,91,46,91,0.9999999999999996,0.9999999999999984
2181,6,independent,4,91,46,91,0.9999999999999994,0.9999999999999994
2181,6,shared_subspace,1,91,46,46,0.7752896139014112,0.6077678313128054
2181,6,shared_subspace,2,91,46,46,0.7752896139014113,0.6077678313128054
2181,6,shared_subspace,3,91,46,46,0.7752896139014108,0.6077678313128053
2181,6,shared_subspace,4,91,46,46,0.7752896139014109,0.6077678313128052
3394,6,independent,1,91,46,46,0.6398774276988819,0.4147479157658936
3394,6,independent,2,91,46,91,1.0,1.0000000000000027
3394,6,independent,3,91,46,91,1.0,0.9999999999999997
3394,6,independent,4,91,46,91,1.0,1.0000000000000004
3394,6,shared_subspace,1,91,46,46,0.7165984614846245,0.570081953291705
3394,6,shared_subspace,2,91,46,46,0.7165984614846245,0.5700819532917051
3394,6,shared_subspace,3,91,46,46,0.7165984614846246,0.5700819532917051
3394,6,shared_subspace,4,91,46,46,0.7165984614846245,0.5700819532917047
8696,6,independent,1,91,46,46,0.7577702873470065,0.6050470805659366
8696,6,independent,2,91,46,91,1.0,1.0000000000000016
8696,6,independent,3,91,46,91,1.0,1.0000000000000004
8696,6,independent,4,91,46,91,1.0,1.0
8696,6,shared_subspace,1,91,46,46,0.6753662172315158,0.44959629928588235
8696,6,shared_subspace,2,91,46,46,0.6753662172315158,0.4495962992858826
8696,6,shared_subspace,3,91,46,46,0.6753662172315157,0.44959629928588246
8696,6,shared_subspace,4,91,46,46,0.675366217231516,0.44959629928588224
2212,6,independent,1,91,46,46,0.7396228487606556,0.5538759752369846
2212,6,independent,2,91,46,91,1.0,1.0000000000000007
2212,6,independent,3,91,46,91,1.0,1.0000000000000007
2212,6,independent,4,91,46,91,0.9999999999999999,1.000000000000002
2212,6,shared_subspace,1,91,46,46,0.6787750536247752,0.47356299253442413
2212,6,shared_subspace,2,91,46,46,0.6787750536247752,0.4735629925344245
2212,6,shared_subspace,3,91,46,46,0.6787750536247752,0.47356299253442413
2212,6,shared_subspace,4,91,46,46,0.6787750536247753,0.47356299253442374
7804,6,independent,1,91,46,46,0.7731775719010832,0.6066231986774099
7804,6,independent,2,91,46,91,1.0,1.000000000000004
7804,6,independent,3,91,46,91,0.9999999999999992,0.9999999999999991
7804,6,independent,4,91,46,91,0.9999999999999991,1.0000000000000018
7804,6,shared_subspace,1,91,46,46,0.7679597290426996,0.5986632320344916
7804,6,shared_subspace,2,91,46,46,0.7679597290426995,0.5986632320344913
7804,6,shared_subspace,3,91,46,46,0.7679597290426996,0.5986632320344918
