feature_level,score_norm,n_victims,n_genuine,n_impostor,eer,decidability,genuine_mean,impostor_mean
1,raw,100,5000,990000,0.0724,2.8735185964025183,0.7619886487996983,0.09119637704985696
1,znorm,100,5000,990000,0.07123686868686868,2.7750628282965257,2.4463775320779564,2.0670334131202915e-18
2,raw,100,5000,990000,0.0722,2.800758807483011,0.7214105596952046,0.08346590978344623
2,znorm,100,5000,990000,0.0688,2.7176894350934284,2.327781817840994,1.6076926546491155e-18
3,raw,100,5000,990000,0.075,2.8135727405391164,0.7017237818809344,0.08336867884919058
3,znorm,100,5000,990000,0.07020757575757576,2.694191393630479,2.370957646334074,-2.2967037923558794e-19
4,raw,100,5000,990000,0.08641919191919192,2.7572748963544647,0.6857839914689952,0.08547910259463407
4,znorm,100,5000,990000,0.07619949494949496,2.665145434892819,2.3655807945719878,-1.5502750598402186e-18
5,raw,100,5000,990000,0.0908,2.704799040623356,0.6582265630955421,0.08680363466247588
5,znorm,100,5000,990000,0.08226717171717171,2.6142857165253286,2.3772078526111184,0.0
6,raw,100,5000,990000,0.09202727272727274,2.7000912928408773,0.640695204483226,0.08615293231939437
6,znorm,100,5000,990000,0.08248636363636364,2.6441601283632354,2.370466758863363,-5.684341886080802e-18
