regime,feature_level,n_template_dims,verification_mode,n_folds,eer_mean,eer_std,decidability_mean
identity,1,52,closed_set,5,0.22820151515151518,0.0038031570665822585,1.2236157813882467
identity,1,52,open_set,5,0.22834810924369747,0.010239695460255488,1.2238766128374934
identity,2,78,closed_set,5,0.26089646464646465,0.0028787557591686613,1.2810477269032188
identity,2,78,open_set,5,0.2611546218487395,0.0036975681717902613,1.280752665135712
identity,3,104,closed_set,5,0.2611459595959596,0.0029776873624281753,1.2794496788482541
identity,3,104,open_set,5,0.2591497899159664,0.004966898830203637,1.2787749479344115
identity,4,130,closed_set,5,0.2848510101010101,0.002495587116413004,1.2029159805990897
identity,4,130,open_set,5,0.28448718487394953,0.0045318287305533885,1.2026566011069175
identity,5,156,closed_set,5,0.2949949494949495,0.0034465224300045598,1.1179856686686565
identity,5,156,open_set,5,0.2945504201680672,0.004429568231402623,1.1193798637349617
identity,6,182,closed_set,5,0.20748838383838386,0.0029929173186232006,1.5346225296344844
identity,6,182,open_set,5,0.2063970588235294,0.0014284221607014406,1.53792144761879
single_key,1,109,closed_set,5,0.06592070707070707,0.0023791213388700528,2.9683909349172937
single_key,1,109,open_set,5,0.06419033613445378,0.0026492451913435783,2.974424137317171
single_key,2,180,closed_set,5,0.06914797979797979,0.003399788843020222,2.790528211244756
single_key,2,180,open_set,5,0.06762941176470588,0.003489588633737445,2.7924569162909574
single_key,3,234,closed_set,5,0.07345555555555555,0.0013611621774120165,2.8782507141617004
single_key,3,234,open_set,5,0.07322731092436975,0.0039006986699652983,2.8810635769404223
single_key,4,288,closed_set,5,0.08693737373737373,0.0012515300298314173,2.7719721179259524
single_key,4,288,open_set,5,0.08620672268907563,0.004952454243846323,2.7749019560076333
single_key,5,359,closed_set,5,0.09216464646464646,0.0030492789696034512,2.711439635916335
single_key,5,359,open_set,5,0.09219558823529411,0.004584699489106043,2.7073316366348994
single_key,6,414,closed_set,5,0.09104747474747474,0.0017199531840165483,2.7339369541961096
single_key,6,414,open_set,5,0.09088109243697479,0.0027767162648888095,2.728987327918955
per_subject,1,109,closed_set,5,0.024059595959595958,0.001810947307346267,4.573918016616108
per_subject,1,109,open_set,5,0.0236,0.0033382255765600985,4.603279370034819
per_subject,2,180,closed_set,5,0.0166,0.001083974169433941,5.026641741392127
per_subject,2,180,open_set,5,0.016859453781512605,0.002879750445130092,5.022370701383567
per_subject,3,234,closed_set,5,0.014164646464646467,0.0014058722879811145,5.157359943105021
per_subject,3,234,open_set,5,0.014418487394957982,0.0023235248529746948,5.144984290186749
per_subject,4,288,closed_set,5,0.012300000000000002,0.00216794833886788,5.118351704649749
per_subject,4,288,open_set,5,0.01306701680672269,0.002294295163123083,5.1141419930464265
per_subject,5,359,closed_set,5,0.014933333333333331,0.0019988403433215947,4.967129474746935
per_subject,5,359,open_set,5,0.015557142857142858,0.002179098296946492,4.939905541201794
per_subject,6,414,closed_set,5,0.012530808080808078,0.002153883791244338,5.009998499109896
per_subject,6,414,open_set,5,0.012859663865546217,0.0023385045608547224,4.977810724038538
